Year,Candidate,Party,State,Votes,Pct
1936,"Landon, Alf",Republican,Alabama,35358,12.822763142625044
1932,Total,Total,Alabama,245354,100.0
1932,"Roosevelt, Franklin (FDR)",Democratic,Alabama,207910,84.73878559143115
1932,"Hoover, Herbert",Republican,Alabama,34675,14.132641000350514
1932,"Thomas, Norman",Socialist,Alabama,2030,0.8273759547429429
1928,Total,Total,Alabama,248981,100.0
1928,"Smith, Al",Democratic,Alabama,127796,51.32761134383748
1928,"Hoover, Herbert",Republican,Alabama,120725,48.48763560271667
1924,Total,Total,Alabama,162355,100.0
1924,"Davis, John",Democratic,Alabama,113138,69.68556558159588
1924,"Coolidge, Calvin",Republican,Alabama,40615,25.01616827322842
1924,"LaFollette, Robert",Progressive,Alabama,8040,4.9521111145329675
1920,Total,Total,Alabama,260307,100.0
1920,"Cox, John",Democratic,Alabama,160560,61.681015109082736
1920,"Harding, Warren",Republican,Alabama,96589,37.10580199533628
1920,"Debs, Eugene",Socialist,Alabama,2402,0.9227565912557096
1916,Total,Total,Alabama,130728,100.0
1916,"Wilson, Woodrow",Democratic,Alabama,99409,76.04262285049874
1916,"Hughes, Charles",Republican,Alabama,28662,21.924912796034516
1916,"Benson, Allan",Socialist,Alabama,1916,1.4656385778104155
1912,Total,Total,Alabama,117869,100.0
1912,"Wilson, Woodrow",Democratic,Alabama,82438,69.94035751554692
1912,"Taft, William",Republican,Alabama,9717,8.24389788663686
1912,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Alabama,22680,19.24170053194648
1912,"Debs, Eugene",Socialist,Alabama,3029,2.5698020683979674
1908,Total,Total,Alabama,105152,100.0
1908,"Bryan, William",Democratic,Alabama,74391,70.74615794278759
1908,"Taft, William",Republican,Alabama,25561,24.308619902617163
1908,"Debs, Eugene",Socialist,Alabama,1450,1.3789561777236763
1904,Total,Total,Alabama,108785,100.0
1904,"Parker, Alton",Democratic,Alabama,79797,73.35294388013054
1904,"Roosevelt, Theodore (Teddy)",Democratic,Alabama,22472,20.657259732499885
1904,"Debs, Eugene",Socialist,Alabama,853,0.7841154570942686
1900,Total,Total,Alabama,159692,100.0
1900,"Bryan, William",Democratic,Alabama,97129,60.82270871427498
1900,"McKinley, William",Republican,Alabama,55612,34.824537234175786
1896,Total,Total,Alabama,194580,100.0
1896,"Bryan, William",Democratic,Alabama,130298,66.96371672319869
1896,"McKinley, William",Republican,Alabama,55673,28.611882002261282
1892,Total,Total,Alabama,232543,100.0
1892,"Cleveland, Grover",Democratic,Alabama,138135,59.40191706480092
1892,"Harrison, Benjamin",Republican,Alabama,9184,3.9493771044495
1892,"Weaver, James",Populist,Alabama,84984,36.54549911199219
1888,Total,Total,Alabama,175085,100.0
1888,"Cleveland, Grover",Democratic,Alabama,117314,67.00402661564382
1888,"Harrison, Benjamin",Republican,Alabama,57177,32.656709598195164
1884,Total,Total,Alabama,153624,100.0
1884,"Cleveland, Grover",Democratic,Alabama,92736,60.365567880018745
1884,"Blaine, James",Republican,Alabama,59444,38.69447482164245
1880,Total,Total,Alabama,151902,100.0
1880,"Hancock, Winfield",Democratic,Alabama,91130,59.99262682518992
1880,"Garfield, James",Republican,Alabama,56350,37.09628576318943
1880,"Weaver, James",Greenback,Alabama,4422,2.91108741162065
1876,Total,Total,Alabama,171699,100.0
1876,"Tilden, Samuel",Democratic,Alabama,102989,59.982294596939994
1876,"Hayes, Rutherford",Republican,Alabama,68708,40.01654057391132
1872,Total,Total,Alabama,169716,100.0
1872,"Greeley, Horace",Liberal Republican/Democratic,Alabama,79444,46.809964882509604
1872,"Grant, Ulysses",Republican,Alabama,90272,53.190035117490396
1868,Total,Total,Alabama,149594,100.0
1868,"Seymour, Horatio",Democratic,Alabama,72921,48.745939008248996
1868,"Grant, Ulysses",Republican,Alabama,76667,51.25005013570063
1864,Total,Total,Alabama,0,0
1864,"McClellan, George",Democratic,Alabama,0,0
1864,"Lincoln, Abraham",National Union (Republican),Alabama,0,0
1860,Total,Total,Alabama,90122,100.0
1860,"Douglas, Stephen",(Northern) Democratic,Alabama,13618,15.110627815627705
1860,"Lincoln, Abraham",Republican,Alabama,0,0.0
1860,"Breckinridge, John",Southern Democratic,Alabama,48669,54.00346197376889
1860,"Bell, John",Constitutional Union,Alabama,27835,30.885910210603406
1856,Total,Total,Alabama,75291,100.0
1856,"Buchanan, James",Democratic,Alabama,46739,62.077804784104345
1856,"Fremont, John",Republican,Alabama,0,0.0
1856,"Fillmore, Millard","Fillmore, Millard",Alabama,28552,37.922195215895655
1852,Total,Total,Alabama,44147,100.0
1852,"Pierce, Franklin",Democratic,Alabama,26881,60.88975468321743
1852,"Scott, Winfield",Whig,Alabama,15061,34.115568441796725
1852,"Hale, John",Free Soil,Alabama,0,0.0
1848,Total,Total,Alabama,61659,100.0
1848,"Cass, Lewis",Democratic,Alabama,31173,50.55709628764657
1848,"Taylor, Zachary",Whig,Alabama,30482,49.43641641933862
1848,"Van Buren, Martin",Free Soil,Alabama,0,0.0
1844,Total,Total,Alabama,63403,100.0
1844,"Polk, James",Democratic,Alabama,37401,58.98932227181679
1844,"Clay, Henry",Whig,Alabama,26002,41.01067772818321
1844,"Birney, James",Liberty,Alabama,0,0.0
1840,Total,Total,Alabama,62511,100.0
1840,"Van Buren, Martin",Democratic,Alabama,33996,54.38402841099966
1840,"Harrison, William",Whig,Alabama,28515,45.61597158900034
1836,Total,Total,Alabama,37296,100.0
1836,"Van Buren, Martin",Democratic,Alabama,20638,55.33569283569283
1836,"Harrison, William",Whig,Alabama,0,0.0
1836,"White, Hugh",Whig,Alabama,16658,44.66430716430717
1836,"Webster, Daniel",Whig,Alabama,0,0.0
1832,Total,Total,Alabama,14291,100.0
1832,"Jackson, Andrew",Democratic,Alabama,14286,99.96501294521028
