Year,Candidate,Party,State,Votes
1912,Total,Total,Arizona,23722
,"Wilson, Woodrow",Democratic,Arizona,10324
,"Taft, William",Republican,Arizona,3021
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Arizona,6949
,"Debs, Eugene",Socialist,Arizona,3163
1908,Total,Total,Arizona,
,"Bryan, William",Democratic,Arizona,
,"Taft, William",Republican,Arizona,
,"Debs, Eugene",Socialist,Arizona,
1904,Total,Total,Arizona,
,"Parker, Alton",Democratic,Arizona,
,"Roosevelt, Theodore (Teddy)",Republican,Arizona,
,"Debs, Eugene",Socialist,Arizona,
1900,Total,Total,Arizona,
,"Bryan, William",Democratic,Arizona,
,"McKinley, William",Republican,Arizona,
1896,Total,Total,Arizona,
,"Bryan, William",Democratic,Arizona,
,"McKinley, William",Republican,Arizona,
1892,Total,Total,Arizona,
,"Cleveland, Grover",Democratic,Arizona,
,"Harrison, Benjamin",Republican,Arizona,
,"Weaver, James",Populist,Arizona,
1888,Total,Total,Arizona,
,"Cleveland, Grover",Democratic,Arizona,
,"Harrison, Benjamin",Republican,Arizona,
1884,Total,Total,Arizona,
,"Cleveland, Grover",Democratic,Arizona,
,"Blaine, James",Republican,Arizona,
1880,Total,Total,Arizona,
,"Hancock, Winfield",Democratic,Arizona,
,"Garfield, James",Republican,Arizona,
,"Weaver, James",Greenback,Arizona,
1876,Total,Total,Arizona,
,"Tilden, Samuel",Democratic,Arizona,
,"Hayes, Rutherford",Republican,Arizona,
1872,Total,Total,Arizona,
,"Greeley, Horace",Liberal Republican/Democratic,Arizona,
,"Grant, Ulysses",Republican,Arizona,
1868,Total,Total,Arizona,
,"Seymour, Horatio",Democratic,Arizona,
,"Grant, Ulysses",Republican,Arizona,
1864,Total,Total,Arizona,
,"McClellan, George",Democratic,Arizona,
,"Lincoln, Abraham",National Union (Republican),Arizona,
1860,Total,Total,Arizona,
,"Douglas, Stephen",(Northern) Democratic,Arizona,
,"Lincoln, Abraham",Republican,Arizona,
,"Breckinridge, John",Southern Democratic,Arizona,
,"Bell, John",Constitutional Union,Arizona,
1856,Total,Total,Arizona,
,"Buchanan, James",Democratic,Arizona,
,"Fremont, John",Republican,Arizona,
,"Fillmore, Millard","Fillmore, Millard",Arizona,
1852,Total,Total,Arizona,
,"Pierce, Franklin",Democratic,Arizona,
,"Scott, Winfield",Whig,Arizona,
,"Hale, John",Free Soil,Arizona,
1848,Total,Total,Arizona,
,"Cass, Lewis",Democratic,Arizona,
,"Taylor, Zachary",Whig,Arizona,
,"Van Buren, Martin",Free Soil,Arizona,
1844,Total,Total,Arizona,
,"Polk, James",Democratic,Arizona,
,"Clay, Henry",Whig,Arizona,
,"Birney, James",Liberty,Arizona,
1840,Total,Total,Arizona,
,"Van Buren, Martin",Democratic,Arizona,
,"Harrison, William",Whig,Arizona,
1836,Total,Total,Arizona,
,"Van Buren, Martin",Democratic,Arizona,
,"Harrison, William",Whig,Arizona,
,"White, Hugh",Whig,Arizona,
,"Webster, Daniel",Whig,Arizona,
1832,Total,Total,Arizona,
,"Jackson, Andrew",Democratic,Arizona,
,"Clay, Henry",National Republican,Arizona,
,"Wirt, William",Anti-Masonic,Arizona,
1828,Total,Total,Arizona,
,"Jackson, Andrew",Democratic,Arizona,
,"Adams, John Quincy",National Republican,Arizona,
2016,Total,Total,Arkansas,1130635
,"Clinton, Hillary",Democratic,Arkansas,380494
,"Trump, Donald",Republican,Arkansas,684872
,"Johnson, Gary",Libertarian,Arkansas,29829
2012,Total,Total,Arkansas,1069468
,"Obama, Barack",Democratic,Arkansas,394409
,"Romney, Mitt",Republican,Arkansas,647744
2008,Total,Total,Arkansas,1086617
,"Obama, Barack",Democratic,Arkansas,422310
,"McCain, John",Republican,Arkansas,638017
2004,Total,Total,Arkansas,1054945
,"Kerry, John",Democratic,Arkansas,469953
,"Bush, George W.",Republican,Arkansas,572898
2000,Total,Total,Arkansas,921781
,"Gore, Al",Democratic,Arkansas,422768
,"Bush, George W.",Republican,Arkansas,472940
,"Nader, Ralph",Green,Arkansas,13421
1996,Total,Total,Arkansas,884262
,"Clinton, Bill",Democratic,Arkansas,475171
,"Dole, Bob",Republican,Arkansas,325416
,"Perot, Ross",Reform,Arkansas,69884
1992,Total,Total,Arkansas,950653
,"Clinton, Bill",Democratic,Arkansas,505823
,"Bush, George H.W.",Republican,Arkansas,337324
,"Perot, Ross",Independent,Arkansas,99132
1988,Total,Total,Arkansas,827738
,"Dukakis, Michael",Democratic,Arkansas,349237
,"Bush, George H.W.",Republican,Arkansas,466578
1984,Total,Total,Arkansas,884406
,"Mondale, Walter",Democratic,Arkansas,338646
,"Reagan, Ronald",Republican,Arkansas,534774
1980,Total,Total,Arkansas,837582
,"Carter, Jimmy",Democratic,Arkansas,398041
,"Reagan, Ronald",Republican,Arkansas,403164
,"Anderson, John",Independent,Arkansas,22468
1976,Total,Total,Arkansas,769396
,"Carter, Jimmy",Democratic,Arkansas,499614
,"Ford, Gerald",Republican,Arkansas,268753
1972,Total,Total,Arkansas,647666
,"McGovern, George",Democratic,Arkansas,198899
,"Nixon, Richard",Republican,Arkansas,445751
1968,Total,Total,Arkansas,609590
,"Humphrey, Hubert",Democratic,Arkansas,184901
,"Nixon, Richard",Republican,Arkansas,189062
,"Wallace, George",American Independent,Arkansas,235627
1964,Total,Total,Arkansas,560426
,"Johnson, Lyndon (LBJ)",Democratic,Arkansas,314197
,"Goldwater, Barry",Republican,Arkansas,243264
1960,Total,Total,Arkansas,428509
,"Kennedy, Jack (JFK)",Democratic,Arkansas,215049
,"Nixon, Richard",Republican,Arkansas,184508
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Arkansas,28952
1956,Total,Total,Arkansas,406572
,"Stevenson, Adlai",Democratic,Arkansas,213277
,"Eisenhower, Dwight",Republican,Arkansas,186287
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Arkansas,7008
1952,Total,Total,Arkansas,404800
,"Stevenson, Adlai",Democratic,Arkansas,226300
,"Eisenhower, Dwight",Republican,Arkansas,177155
1948,Total,Total,Arkansas,242475
,"Truman, Harry",Democratic,Arkansas,149659
,"Dewey, Thomas",Republican,Arkansas,50959
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Arkansas,40068
,"Wallace, Henry",Progressive,Arkansas,751
1944,Total,Total,Arkansas,212954
,"Roosevelt, Franklin (FDR)",Democratic,Arkansas,148965
,"Dewey, Thomas",Republican,Arkansas,63551
1940,Total,Total,Arkansas,200743
,"Roosevelt, Franklin (FDR)",Democratic,Arkansas,158622
,"Wilkie, Wendell",Republican,Arkansas,42121
1936,Total,Total,Arkansas,179423
,"Roosevelt, Franklin (FDR)",Democratic,Arkansas,146765
,"Landon, Alf",Republican,Arkansas,32039
1932,Total,Total,Arkansas,220562
,"Roosevelt, Franklin (FDR)",Democratic,Arkansas,189602
,"Hoover, Herbert",Republican,Arkansas,28467
,"Thomas, Norman",Socialist,Arkansas,1269
1928,Total,Total,Arkansas,197693
,"Smith, Al",Democratic,Arkansas,119196
,"Hoover, Herbert",Republican,Arkansas,77751
1924,Total,Total,Arkansas,138532
,"Davis, John",Democratic,Arkansas,84795
,"Coolidge, Calvin",Republican,Arkansas,40564
,"LaFollette, Robert",Progressive,Arkansas,13173
1920,Total,Total,Arkansas,183637
,"Cox, John",Democratic,Arkansas,107409
,"Harding, Warren",Republican,Arkansas,71117
,"Debs, Eugene",Socialist,Arkansas,5111
1916,Total,Total,Arkansas,170104
,"Wilson, Woodrow",Democratic,Arkansas,112211
,"Hughes, Charles",Republican,Arkansas,48879
,"Benson, Allan",Socialist,Arkansas,6999
1912,Total,Total,Arkansas,125104
,"Wilson, Woodrow",Democratic,Arkansas,68814
,"Taft, William",Republican,Arkansas,25585
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Arkansas,21644
,"Debs, Eugene",Socialist,Arkansas,8153
1908,Total,Total,Arkansas,151822
,"Bryan, William",Democratic,Arkansas,87015
,"Taft, William",Republican,Arkansas,56624
,"Debs, Eugene",Socialist,Arkansas,5842
1904,Total,Total,Arkansas,116421
,"Parker, Alton",Democratic,Arkansas,64434
,"Roosevelt, Theodore (Teddy)",Republican,Arkansas,46860
,"Debs, Eugene",Socialist,Arkansas,1816
1900,Total,Total,Arkansas,127866
,"Bryan, William",Democratic,Arkansas,81142
,"McKinley, William",Republican,Arkansas,44800
1896,Total,Total,Arkansas,149347
,"Bryan, William",Democratic,Arkansas,110103
,"McKinley, William",Republican,Arkansas,37512
1892,Total,Total,Arkansas,148117
,"Cleveland, Grover",Democratic,Arkansas,87834
,"Harrison, Benjamin",Republican,Arkansas,47072
,"Weaver, James",Populist,Arkansas,11831
1888,Total,Total,Arkansas,157058
,"Cleveland, Grover",Democratic,Arkansas,86062
,"Harrison, Benjamin",Republican,Arkansas,59752
1884,Total,Total,Arkansas,125779
,"Cleveland, Grover",Democratic,Arkansas,72734
,"Blaine, James",Republican,Arkansas,51198
1880,Total,Total,Arkansas,107772
,"Hancock, Winfield",Democratic,Arkansas,60489
,"Garfield, James",Republican,Arkansas,41661
,"Weaver, James",Greenback,Arkansas,4079
1876,Total,Total,Arkansas,96946
,"Tilden, Samuel",Democratic,Arkansas,58086
,"Hayes, Rutherford",Republican,Arkansas,38649
1872,Total,Total,Arkansas,79300
,"Greeley, Horace",Liberal Republican/Democratic,Arkansas,37927
,"Grant, Ulysses",Republican,Arkansas,41373
1868,Total,Total,Arkansas,41190
,"Seymour, Horatio",Democratic,Arkansas,19078
,"Grant, Ulysses",Republican,Arkansas,22112
1864,Total,Total,Arkansas,
,"McClellan, George",Democratic,Arkansas,
,"Lincoln, Abraham",National Union (Republican),Arkansas,
1860,Total,Total,Arkansas,54152
,"Douglas, Stephen",(Northern) Democratic,Arkansas,5357
,"Lincoln, Abraham",Republican,Arkansas,0
,"Breckinridge, John",Southern Democratic,Arkansas,28732
,"Bell, John",Constitutional Union,Arkansas,20063
1856,Total,Total,Arkansas,32642
,"Buchanan, James",Democratic,Arkansas,21910
,"Fremont, John",Republican,Arkansas,0
,"Fillmore, Millard","Fillmore, Millard",Arkansas,10732
1852,Total,Total,Arkansas,19577
,"Pierce, Franklin",Democratic,Arkansas,12173
,"Scott, Winfield",Whig,Arkansas,7404
,"Hale, John",Free Soil,Arkansas,0
1848,Total,Total,Arkansas,16888
,"Cass, Lewis",Democratic,Arkansas,9301
,"Taylor, Zachary",Whig,Arkansas,7587
,"Van Buren, Martin",Free Soil,Arkansas,0
1844,Total,Total,Arkansas,15150
,"Polk, James",Democratic,Arkansas,9546
,"Clay, Henry",Whig,Arkansas,5604
,"Birney, James",Liberty,Arkansas,0
1840,Total,Total,Arkansas,11839
,"Van Buren, Martin",Democratic,Arkansas,6679
,"Harrison, William",Whig,Arkansas,5160
1836,Total,Total,Arkansas,3714
,"Van Buren, Martin",Democratic,Arkansas,2380
,"Harrison, William",Whig,Arkansas,0
,"White, Hugh",Whig,Arkansas,1334
,"Webster, Daniel",Whig,Arkansas,0
1832,Total,Total,Arkansas,
,"Jackson, Andrew",Democratic,Arkansas,
,"Clay, Henry",National Republican,Arkansas,
,"Wirt, William",Anti-Masonic,Arkansas,
1828,Total,Total,Arkansas,
,"Jackson, Andrew",Democratic,Arkansas,
,"Adams, John Quincy",National Republican,Arkansas,
2016,Total,Total,California,14237884
,"Clinton, Hillary",Democratic,California,8753788
,"Trump, Donald",Republican,California,4483810
,"Johnson, Gary",Libertarian,California,478500
2012,Total,Total,California,13055815
,"Obama, Barack",Democratic,California,7854285
,"Romney, Mitt",Republican,California,4839958
2008,Total,Total,California,13583083
,"Obama, Barack",Democratic,California,8274473
,"McCain, John",Republican,California,5011781
2004,Total,Total,California,12421859
,"Kerry, John",Democratic,California,6745485
,"Bush, George W.",Republican,California,5509826
2000,Total,Total,California,10965856
,"Gore, Al",Democratic,California,5861203
,"Bush, George W.",Republican,California,4567429
,"Nader, Ralph",Green,California,418707
1996,Total,Total,California,10019484
,"Clinton, Bill",Democratic,California,5119835
,"Dole, Bob",Republican,California,3828380
,"Perot, Ross",Reform,California,697847
1992,Total,Total,California,11131721
,"Clinton, Bill",Democratic,California,5121325
,"Bush, George H.W.",Republican,California,3630574
,"Perot, Ross",Independent,California,2296006
1988,Total,Total,California,9887064
,"Dukakis, Michael",Democratic,California,4702233
,"Bush, George H.W.",Republican,California,5054917
1984,Total,Total,California,9505423
,"Mondale, Walter",Democratic,California,3922519
,"Reagan, Ronald",Republican,California,5467009
1980,Total,Total,California,8587063
,"Carter, Jimmy",Democratic,California,3083661
,"Reagan, Ronald",Republican,California,4524858
,"Anderson, John",Independent,California,739833
1976,Total,Total,California,7867117
,"Carter, Jimmy",Democratic,California,3742284
,"Ford, Gerald",Republican,California,3882244
1972,Total,Total,California,8367862
,"McGovern, George",Democratic,California,3475847
,"Nixon, Richard",Republican,California,4602096
1968,Total,Total,California,7251587
,"Humphrey, Hubert",Democratic,California,3244318
,"Nixon, Richard",Republican,California,3467664
,"Wallace, George",American Independent,California,487270
1964,Total,Total,California,7057586
,"Johnson, Lyndon (LBJ)",Democratic,California,4171877
,"Goldwater, Barry",Republican,California,2879108
1960,Total,Total,California,6506578
,"Kennedy, Jack (JFK)",Democratic,California,3224099
,"Nixon, Richard",Republican,California,3259722
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",California,22757
1956,Total,Total,California,5466355
,"Stevenson, Adlai",Democratic,California,2420135
,"Eisenhower, Dwight",Republican,California,3027668
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",California,18552
1952,Total,Total,California,5341603
,"Stevenson, Adlai",Democratic,California,2257646
,"Eisenhower, Dwight",Republican,California,3035587
1948,Total,Total,California,4021538
,"Truman, Harry",Democratic,California,1913134
,"Dewey, Thomas",Republican,California,1895269
,"Thurmond, Strom","States' Rights ""Dixiecrat""",California,1228
,"Wallace, Henry",Progressive,California,190381
1944,Total,Total,California,3520875
,"Roosevelt, Franklin (FDR)",Democratic,California,1988564
,"Dewey, Thomas",Republican,California,1512965
1940,Total,Total,California,3268791
,"Roosevelt, Franklin (FDR)",Democratic,California,1877618
,"Wilkie, Wendell",Republican,California,1351419
1936,Total,Total,California,2638882
,"Roosevelt, Franklin (FDR)",Democratic,California,1766836
,"Landon, Alf",Republican,California,836431
1932,Total,Total,California,2267966
,"Roosevelt, Franklin (FDR)",Democratic,California,1324157
,"Hoover, Herbert",Republican,California,847902
,"Thomas, Norman",Socialist,California,63299
1928,Total,Total,California,1796656
,"Smith, Al",Democratic,California,614365
,"Hoover, Herbert",Republican,California,1162323
1924,Total,Total,California,1281900
,"Davis, John",Democratic,California,105514
,"Coolidge, Calvin",Republican,California,733250
,"LaFollette, Robert",Progressive,California,424649
1920,Total,Total,California,944050
,"Cox, John",Democratic,California,229191
,"Harding, Warren",Republican,California,624992
,"Debs, Eugene",Socialist,California,64076
1916,Total,Total,California,999603
,"Wilson, Woodrow",Democratic,California,466289
,"Hughes, Charles",Republican,California,462516
,"Benson, Allan",Socialist,California,42898
1912,Total,Total,California,677944
,"Wilson, Woodrow",Democratic,California,283436
,"Taft, William",Republican,California,3914
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",California,283610
,"Debs, Eugene",Socialist,California,79201
1908,Total,Total,California,386597
,"Bryan, William",Democratic,California,127492
,"Taft, William",Republican,California,214398
,"Debs, Eugene",Socialist,California,28659
1904,Total,Total,California,331878
,"Parker, Alton",Democratic,California,89404
,"Roosevelt, Theodore (Teddy)",Republican,California,205226
,"Debs, Eugene",Socialist,California,29535
1900,Total,Total,California,302318
,"Bryan, William",Democratic,California,124985
,"McKinley, William",Republican,California,164755
1896,Total,Total,California,298419
,"Bryan, William",Democratic,California,144766
,"McKinley, William",Republican,California,146688
1892,Total,Total,California,269609
,"Cleveland, Grover",Democratic,California,118174
,"Harrison, Benjamin",Republican,California,118027
,"Weaver, James",Populist,California,25311
1888,Total,Total,California,251339
,"Cleveland, Grover",Democratic,California,117729
,"Harrison, Benjamin",Republican,California,124816
1884,Total,Total,California,196988
,"Cleveland, Grover",Democratic,California,89288
,"Blaine, James",Republican,California,102369
1880,Total,Total,California,164218
,"Hancock, Winfield",Democratic,California,80426
,"Garfield, James",Republican,California,80282
,"Weaver, James",Greenback,California,3381
1876,Total,Total,California,155784
,"Tilden, Samuel",Democratic,California,76460
,"Hayes, Rutherford",Republican,California,79258
1872,Total,Total,California,95785
,"Greeley, Horace",Liberal Republican/Democratic,California,40717
,"Grant, Ulysses",Republican,California,54007
1868,Total,Total,California,108656
,"Seymour, Horatio",Democratic,California,54068
,"Grant, Ulysses",Republican,California,54588
1864,Total,Total,California,105890
,"McClellan, George",Democratic,California,43837
,"Lincoln, Abraham",National Union (Republican),California,62053
1860,Total,Total,California,119827
,"Douglas, Stephen",(Northern) Democratic,California,37999
,"Lincoln, Abraham",Republican,California,38733
,"Breckinridge, John",Southern Democratic,California,33969
,"Bell, John",Constitutional Union,California,9111
1856,Total,Total,California,110255
,"Buchanan, James",Democratic,California,53342
,"Fremont, John",Republican,California,20704
,"Fillmore, Millard","Fillmore, Millard",California,36195
1852,Total,Total,California,76810
,"Pierce, Franklin",Democratic,California,40721
,"Scott, Winfield",Whig,California,35972
,"Hale, John",Free Soil,California,61
1848,Total,Total,California,
,"Cass, Lewis",Democratic,California,
,"Taylor, Zachary",Whig,California,
,"Van Buren, Martin",Free Soil,California,
1844,Total,Total,California,
,"Polk, James",Democratic,California,
,"Clay, Henry",Whig,California,
,"Birney, James",Liberty,California,
1840,Total,Total,California,
,"Van Buren, Martin",Democratic,California,
,"Harrison, William",Whig,California,
1836,Total,Total,California,
,"Van Buren, Martin",Democratic,California,
,"Harrison, William",Whig,California,
,"White, Hugh",Whig,California,
,"Webster, Daniel",Whig,California,
1832,Total,Total,California,
,"Jackson, Andrew",Democratic,California,
,"Clay, Henry",National Republican,California,
,"Wirt, William",Anti-Masonic,California,
1828,Total,Total,California,
,"Jackson, Andrew",Democratic,California,
,"Adams, John Quincy",National Republican,California,
2016,Total,Total,Colorado,2780247
,"Clinton, Hillary",Democratic,Colorado,1338870
,"Trump, Donald",Republican,Colorado,1202484
,"Johnson, Gary",Libertarian,Colorado,144121
2012,Total,Total,Colorado,2571846
,"Obama, Barack",Democratic,Colorado,1323102
,"Romney, Mitt",Republican,Colorado,1185243
2008,Total,Total,Colorado,2401462
,"Obama, Barack",Democratic,Colorado,1288633
,"McCain, John",Republican,Colorado,1073629
2004,Total,Total,Colorado,2130325
