Year,Candidate,Party,State,Votes
,"Dewey, Thomas",Republican,Alaska,
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Alaska,
,"Wallace, Henry",Progressive,Alaska,
1944,Total,Total,Alaska,
,"Roosevelt, Franklin (FDR)",Democratic,Alaska,
,"Dewey, Thomas",Republican,Alaska,
1940,Total,Total,Alaska,
,"Roosevelt, Franklin (FDR)",Democratic,Alaska,
,"Wilkie, Wendell",Republican,Alaska,
1936,Total,Total,Alaska,
,"Roosevelt, Franklin (FDR)",Democratic,Alaska,
,"Landon, Alf",Republican,Alaska,
1932,Total,Total,Alaska,
,"Roosevelt, Franklin (FDR)",Democratic,Alaska,
,"Hoover, Herbert",Republican,Alaska,
,"Thomas, Norman",Socialist,Alaska,
1928,Total,Total,Alaska,
,"Smith, Al",Democratic,Alaska,
,"Hoover, Herbert",Republican,Alaska,
1924,Total,Total,Alaska,
,"Davis, John",Democratic,Alaska,
,"Coolidge, Calvin",Republican,Alaska,
,"LaFollette, Robert",Progressive,Alaska,
1920,Total,Total,Alaska,
,"Cox, John",Democratic,Alaska,
,"Harding, Warren",Republican,Alaska,
,"Debs, Eugene",Socialist,Alaska,
1916,Total,Total,Alaska,
,"Wilson, Woodrow",Democratic,Alaska,
,"Hughes, Charles",Republican,Alaska,
,"Benson, Allan",Socialist,Alaska,
1912,Total,Total,Alaska,
,"Wilson, Woodrow",Democratic,Alaska,
,"Taft, William",Republican,Alaska,
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Alaska,
,"Debs, Eugene",Socialist,Alaska,
1908,Total,Total,Alaska,
,"Bryan, William",Democratic,Alaska,
,"Taft, William",Republican,Alaska,
,"Debs, Eugene",Socialist,Alaska,
1904,Total,Total,Alaska,
,"Parker, Alton",Democratic,Alaska,
,"Roosevelt, Theodore (Teddy)",Republican,Alaska,
,"Debs, Eugene",Socialist,Alaska,
1900,Total,Total,Alaska,
,"Bryan, William",Democratic,Alaska,
,"McKinley, William",Republican,Alaska,
1896,Total,Total,Alaska,
,"Bryan, William",Democratic,Alaska,
,"McKinley, William",Republican,Alaska,
1892,Total,Total,Alaska,
,"Cleveland, Grover",Democratic,Alaska,
,"Harrison, Benjamin",Republican,Alaska,
,"Weaver, James",Populist,Alaska,
1888,Total,Total,Alaska,
,"Cleveland, Grover",Democratic,Alaska,
,"Harrison, Benjamin",Republican,Alaska,
1884,Total,Total,Alaska,
,"Cleveland, Grover",Democratic,Alaska,
,"Blaine, James",Republican,Alaska,
1880,Total,Total,Alaska,
,"Hancock, Winfield",Democratic,Alaska,
,"Garfield, James",Republican,Alaska,
,"Weaver, James",Greenback,Alaska,
1876,Total,Total,Alaska,
,"Tilden, Samuel",Democratic,Alaska,
,"Hayes, Rutherford",Republican,Alaska,
1872,Total,Total,Alaska,
